IP地址,端口,回源端口,TLS,数据中心,地区,国家,城市,TCP延迟(ms),速度(MB/s)
141.11.76.180,2053,2053,true,HKG,Asia Pacific,HK,Hong Kong,0,6.13
47.76.83.30,443,443,true,HKG,Asia Pacific,HK,Hong Kong,4,2.20
219.76.13.177,443,443,true,HKG,Asia Pacific,HK,Hong Kong,1,1.81
47.240.15.210,8880,8880,false,HKG,Asia Pacific,HK,Hong Kong,0,1.50
8.210.150.102,443,443,true,HKG,Asia Pacific,HK,Hong Kong,3,1.43
185.106.176.128,443,443,true,HKG,Asia Pacific,HK,Hong Kong,0,1.35
46.232.108.217,443,443,true,HKG,Asia Pacific,HK,Hong Kong,4,1.32
101.32.72.125,443,443,true,HKG,Asia Pacific,HK,Hong Kong,0,1.30
8.218.22.14,443,443,true,HKG,Asia Pacific,HK,Hong Kong,0,1.13
20.2.112.55,443,443,true,HKG,Asia Pacific,HK,Hong Kong,0,1.04
20.239.233.43,443,443,true,HKG,Asia Pacific,HK,Hong Kong,4,0.92
