IP地址,端口,回源端口,TLS,数据中心,地区,国家,城市,TCP延迟(ms),速度(MB/s)
18.183.101.240,443,443,true,HKG,Asia Pacific,HK,Hong Kong,3,1.46
140.238.50.134,443,443,true,HKG,Asia Pacific,HK,Hong Kong,0,1.11
8.219.155.125,443,443,true,HKG,Asia Pacific,HK,Hong Kong,2,1.10
57.180.15.86,443,443,true,HKG,Asia Pacific,HK,Hong Kong,4,1.08
47.79.38.17,443,443,true,HKG,Asia Pacific,HK,Hong Kong,4,1.07
13.112.174.37,443,443,true,HKG,Asia Pacific,HK,Hong Kong,0,1.01
18.181.147.120,443,443,true,HKG,Asia Pacific,HK,Hong Kong,4,1.01
47.79.91.168,443,443,true,HKG,Asia Pacific,HK,Hong Kong,5,0.97
18.179.8.0,443,443,true,HKG,Asia Pacific,HK,Hong Kong,0,0.96
54.249.48.190,443,443,true,HKG,Asia Pacific,HK,Hong Kong,2,0.95
18.179.41.177,443,443,true,HKG,Asia Pacific,HK,Hong Kong,1,0.93
3.112.5.91,443,443,true,HKG,Asia Pacific,HK,Hong Kong,3,0.90
52.198.141.70,443,443,true,HKG,Asia Pacific,HK,Hong Kong,6,0.86
52.192.202.83,443,443,true,HKG,Asia Pacific,HK,Hong Kong,2,0.86
54.150.255.106,443,443,true,HKG,Asia Pacific,HK,Hong Kong,2,0.86
13.231.124.166,443,443,true,HKG,Asia Pacific,HK,Hong Kong,5,0.77
8.140.56.136,80,80,false,HKG,Asia Pacific,HK,Hong Kong,5,0.53
13.230.34.30,443,443,true,HKG,Asia Pacific,HK,Hong Kong,0,0.44
57.180.31.235,443,443,true,HKG,Asia Pacific,HK,Hong Kong,0,0.43
18.183.169.174,443,443,true,HKG,Asia Pacific,HK,Hong Kong,5,0.35
139.129.25.209,80,80,false,NRT,Asia Pacific,JP,Tokyo,6,0.01
47.105.108.185,80,80,false,NRT,Asia Pacific,JP,Tokyo,3,0.01
