IP地址,端口,回源端口,TLS,数据中心,地区,国家,城市,TCP延迟(ms),速度(MB/s)
8.222.227.220,443,443,true,HKG,Asia Pacific,HK,Hong Kong,0,3.75
43.134.174.114,443,443,true,HKG,Asia Pacific,HK,Hong Kong,0,3.29
13.250.131.37,443,443,true,HKG,Asia Pacific,HK,Hong Kong,0,1.16
8.219.163.123,443,443,true,HKG,Asia Pacific,HK,Hong Kong,3,1.08
123.58.199.241,443,443,true,HKG,Asia Pacific,HK,Hong Kong,0,1.08
47.74.157.194,443,443,true,HKG,Asia Pacific,HK,Hong Kong,3,1.07
20.205.177.152,443,443,true,HKG,Asia Pacific,HK,Hong Kong,3,1.06
18.143.66.189,443,443,true,HKG,Asia Pacific,HK,Hong Kong,3,1.03
52.187.105.19,443,443,true,HKG,Asia Pacific,HK,Hong Kong,3,0.95
43.133.110.81,443,443,true,HKG,Asia Pacific,HK,Hong Kong,0,0.76
131.186.27.21,443,443,true,HKG,Asia Pacific,HK,Hong Kong,0,0.73
8.219.95.226,443,443,true,HKG,Asia Pacific,HK,Hong Kong,0,0.71
3.1.94.232,443,443,true,HKG,Asia Pacific,HK,Hong Kong,0,0.65
104.43.91.171,443,443,true,HKG,Asia Pacific,HK,Hong Kong,0,0.52
